icao,iata,name
TUI,X3,TUI fly
THY,TK,Turkish Airlines
LOT,LO,LOT
ASL,JU,AirSERBIA
EWG,EW,Eurowings
ANE,YW,Air Nostrum
WMT,W4,Wizz Air Malta
AEG,,Airest
BUC,H6,European Air Charter
ARG,AR,Aerolineas Argentinas
KLC,WA,KLM Cityhopper
ENT,E4,Enter Air
EWL,E6,Eurowings Europe
TAY,3V,ASL Airlines Belgium
RYS,RR,Buzz
RSC,,Canair
IBE,IB,Iberia
PAV,,ProAir Aviation
UPS,5X,UPS
RGN,,Cygnus Air
WZZ,W6,Wizz Air
AHY,J2,Azerbaijan Airlines
EDW,WK,Edelweiss
WJA,WS,WestJet
PLM,EB,Wamos Air
AMX,AM,Aeromexico
LVL,LL,Level
NAY,ZN,Naysa
BOV,OB,Boliviana de Aviacion
ETD,EY,Etihad Airways
SWT,WT,Swiftair
WUK,W9,Wizz Air UK
OCN,4Y,Discover Airlines
CCA,CA,Air China
MBU,DI,Marabu
PGA,NI,Portugalia Airlines
TVF,TO,Transavia France
ELY,LY,El Al
TSC,TS,Air Transat
VOE,V7,Volotea
NSZ,D8,Norwegian Air Sweden
INR,,Avincis
SWR,LX,Swiss
CSN,CZ,China Southern Airlines
DLH,LH,Lufthansa
ACA,AC,Air Canada
CFG,DE,Condor
FJO,,Flexjet Operations Malta
EVE,E9,Iberojet
EZY,U2,easyJet
KAL,KE,Korean Air
BTI,BT,airBaltic
FIN,AY,Finnair
LAV,,AlbaStar
TRA,HV,Transavia
RYR,FR,Ryanair
IBB,NT,Binter Canarias
CNF,PM,CanaryFly
HST,HN,Heston Airlines
MAY,MW,Malta Air
AVA,AV,avianca
DAL,DL,Delta Air Lines
EJU,EC,easyJet Europe
HOP,A5,Air France Hop
AWG,A2,Animawings
NOS,NO,Neos
IBS,I2,Iberia Express
TOM,BY,TUI Airways
UAL,UA,United Airlines
CYP,CY,Cyprus Airways
OVA,X5,Air Europa Express
EZS,DS,easyJet Switzerland
TFL,OR,TUI fly Netherlands
SZS,SL,SAS Connect
IPL,,Airpull Aviation Academy
AAL,AA,American Airlines
UAE,EK,Emirates
TVS,QS,Smartwings
VLG,VY,Vueling
WFL,2W,World2Fly
LAN,LA,LATAM Airlines
DHA,Q7,DHL Air Austria
BCS,QY,European Air Transport
BEL,SN,Brussels Airlines
MLH,4X,Avion Express Malta
AEA,UX,Air Europa
CGF,,Cargo Air
JAF,TB,TUI fly Belgium
AEE,A3,Aegean Airlines
TAR,TU,Tunisair
EXS,LS,Jet2
JBU,B6,JetBlue
ABR,5H,ASL Airlines
QQE,QE,Qatar Executive
KRP,V3,Carpatair
AXY,,AirX
HAT,HT,Air Horizont
LGL,LG,Luxair
KPO,,Fly Alliance
LDA,LW,Lauda Europe
NOZ,DY,Norwegian
AFR,AF,Air France
GJT,GW,GetJet Airlines
SWN,T2,West Air Sweden
VJT,,VistaJet
LXJ,,Flexjet
NJE,,NetJets Europe
MAC,3O,Air Arabia Maroc
TAM,JJ,LATAM Brasil
XTX,,AIR TXT
AED,,EADS CASA
STQ,,Star Wings
NVD,X9,Avion Express
EJA,,NetJets
AAR,OZ,Asiana Airlines
MMZ,YU,EuroAtlantic Airways
QTR,QR,Qatar Airways
AEP,,Aerotec
BOH,,Air Bohemia
PTN,,Platoon Aviation
SHP,,SAF Helicopteres
JFL,,Jet Fly Airline
BEJ,,SD Aviation
DGC,,Spain - Guardia Civil
PVG,P6,Privilege Style
TEU,,TAG Aviation Malta
ETH,ET,Ethiopian Airlines
EAF,3E,Electra Airways
CES,MU,China Eastern Airlines
GAC,,GlobeAir
AAO,,Alpha Aviation
OAW,2L,Helvetic Airways
AUA,OS,Austrian Airlines
FSE,,Alpine Flightservice
AZE,,Arcus Air
FYS,,European Flyers
EOA,,Elilombarda
TJD,,Aliserio
AWH,,Aerowest
QRJ,,Quattro Jet
TVP,3Z,Smartwings Poland
ORO,,ClipperJet
JNJ,,JoinJet
CWG,,Wing Aviation
BFX,,Fly Away
CXB,CS,Comlux Aruba
AZU,AD,Azul
AAN,,Atmospherica Aviation
MDO,5M,Mel Air
HRN,,Heron Aviation
WPT,3P,World2Fly Portugal
EIN,EI,Aer Lingus
