icao,iata,name
BIKF,KEF,Keflavik International Airport
CYHZ,YHZ,Halifax Stanfield International Airport
CYUL,YUL,Montreal Pierre Elliott Trudeau Airport
CYYC,YYC,Calgary International Airport
CYYZ,YYZ,Toronto Pearson International Airport
DAAG,ALG,Algiers Houari Boumediene Airport
DTTA,TUN,Tunis Carthage International Airport
EBBR,BRU,Brussels Airport
EBCI,CRL,Brussels South Charleroi Airport
EBOS,OST,Ostend Bruges International Airport
EDDB,BER,Berlin Brandenburg Airport
EDDE,ERF,Erfurt Weimar Airport
EDDF,FRA,Frankfurt Airport
EDDG,FMO,Munster Osnabruck International Airport
EDDH,HAM,Hamburg Airport
EDDK,CGN,Cologne Bonn Airport
EDDL,DUS,Dusseldorf Airport
EDDM,MUC,Munich Airport
EDDN,NUE,Nuremberg Airport
EDDP,LEJ,Leipzig Halle Airport
EDDS,STR,Stuttgart Airport
EDDV,HAJ,Hannover Langenhagen Airport
EDDW,BRE,Bremen Airport
EDFH,HHN,Frankfurt Hahn Airport
EDLP,PAD,Paderborn Lippstadt Airport
EDSB,FKB,Karlsruhe / Baden-Baden Airport
EETN,TLL,Tallinn Lennart Meri Airport
EFHK,HEL,Helsinki Vantaa Airport
EGAC,BHD,Belfast City George Best Airport
EGBB,BHX,Birmingham Airport
EGCC,MAN,Manchester Airport
EGGD,BRS,Bristol Airport
EGGP,LPL,Liverpool John Lennon Airport
EGGW,LTN,London Luton Airport
EGKK,LGW,London Gatwick Airport
EGNM,LBA,Leeds Bradford Airport
EGNT,NCL,Newcastle Airport
EGNV,MME,Teesside International Airport
EGPF,GLA,Glasgow International Airport
EGPH,EDI,Edinburgh Airport
EGSS,STN,London Stansted Airport
EHAM,AMS,Amsterdam Schiphol Airport
EHEH,EIN,Eindhoven Airport
EHRD,RTM,Rotterdam The Hague Airport
EICK,ORK,Cork Airport
EIDW,DUB,Dublin Airport
EINN,SNN,Shannon Airport
EKBI,BLL,Billund Airport
EKCH,CPH,Copenhagen Airport
ELLX,LUX,Luxembourg Findel Airport
ENGM,OSL,Oslo Gardermoen Airport
EPGD,GDN,Gdansk Lech Walesa Airport
EPKK,KRK,Krakow John Paul II International Airport
EPKT,KTW,Katowice International Airport
EPMO,WMI,Warsaw Modlin Airport
EPPO,POZ,Poznan Lawica Airport
EPRZ,RZE,Rzeszow Jasionka Airport
EPWA,WAW,Warsaw Chopin Airport
EPWR,WRO,Wroclaw Copernicus Airport
ESSA,ARN,Stockholm Arlanda Airport
EVRA,RIX,Riga International Airport
EYVI,VNO,Vilnius International Airport
GCFV,FUE,Fuerteventura Airport
GCGM,GMZ,La Gomera Airport
GCHI,VDE,El Hierro Airport
GCLA,SPC,La Palma Airport
GCLB,QRP,Maspalomas El Berriel Airport
GCLP,LPA,Gran Canaria Airport
GCRR,ACE,Lanzarote Airport
GCTS,TFS,Tenerife South Airport
GCXO,TFN,Tenerife North Airport
GMFF,FEZ,Fes Saiss Airport
GMME,RBA,Rabat-Sale Airport
GMMI,ESU,Essaouira Airport
GMMW,NDR,Nador International Airport
GMMX,RAK,Marrakesh Menara Airport
GMTT,TNG,Tangier Ibn Battouta Airport
KATL,ATL,Atlanta Hartsfield-Jackson International Airport
KBOS,BOS,Boston Logan International Airport
KDFW,DFW,Dallas Fort Worth International Airport
KEWR,EWR,New York Newark Liberty International Airport
KHPN,HPN,White Plains Westchester County Airport
KIAD,IAD,Washington Dulles International Airport
KJFK,JFK,New York John F. Kennedy International Airport
KLAX,LAX,Los Angeles International Airport
KMCO,MCO,Orlando International Airport
KMIA,MIA,Miami International Airport
KORD,ORD,Chicago O'Hare International Airport
KPHL,PHL,Philadelphia International Airport
KPWM,PWM,Portland International Jetport
KSFO,SFO,San Francisco International Airport
KTEB,TEB,Teterboro Airport
LBSF,SOF,Sofia Vasil Levski Airport
LBWN,VAR,Varna Airport
LCLK,LCA,Larnaca International Airport
LEAL,ALC,Alicante Airport
LEAM,LEI,Almeria Airport
LEAS,OVD,Asturias Airport
LEBA,ODB,Cordoba Airport
LEBB,BIO,Bilbao Airport
LEBL,BCN,Barcelona El Prat Airport
LECH,CDT,Castellon Costa Azahar Airport
LECO,LCG,A Coruna Airport
LEGE,GRO,Girona Costa Brava Airport
LEIB,IBZ,Ibiza Airport
LELL,QYS,Sabadell Airport
LEMD,MAD,Madrid Barajas Airport
LEMG,AGP,Malaga Costa Del Sol Airport
LEMH,MAH,Mahon Menorca Airport
LEPA,PMI,Palma de Mallorca Airport
LESA,SLM,Salamanca Airport
LESB,QRS,Palma de Mallorca Son Bonet Airport
LEST,SCQ,Santiago de Compostela Airport
LEVC,VLC,Valencia Airport
LEVT,VIT,Vitoria Airport
LEVX,VGO,Vigo-Peinador Airport
LEZL,SVQ,Seville San Pablo Airport
LFBD,BOD,Bordeaux Merignac Airport
LFBO,TLS,Toulouse Blagnac Airport
LFBP,PUF,Pau Pyrenees Airport
