fr24_id,flight,callsign,operated_as,type,reg,origin_icao,destination_icao,datetime_takeoff,datetime_landed
4020d570,AC820,ACA820,ACA,B77W,C-FIVS,CYYZ,LEBL,2026-06-11T00:28:31Z,2026-06-11T07:51:27Z
4020dbfc,WT224,SWT224,SWT,AT72,EC-IYH,LEMD,LEBL,2026-06-11T00:35:23Z,2026-06-11T01:42:45Z
4020dea0,A3713,AEE713,AEE,A320,SX-DVQ,LEBL,LGAV,2026-06-11T00:37:05Z,2026-06-11T02:57:39Z
4020e082,,,,GLF5,,,,2026-06-11T00:39:22Z,2026-06-11T01:25:27Z
4020e8ef,IB2630,LVL230K,LVL,A332,EC-ODB,KMIA,LEBL,2026-06-11T02:01:29Z,2026-06-11T11:02:29Z
4020e8e7,EK256,UAE256,UAE,B77L,A6-EWB,MMMX,LEBL,2026-06-11T00:59:32Z,2026-06-11T11:40:18Z
4020e9a4,,IBB86P,IBB,E295,EC-OLZ,GCLP,LEBL,2026-06-11T00:51:39Z,2026-06-11T03:36:43Z
4020e9cc,UA672,UAL672,UAL,B772,N206UA,KSFO,LEBL,2026-06-11T01:14:34Z,2026-06-11T11:53:05Z
4020eb03,QY460,BCS460,CGF,B734,LZ-CGW,LIMC,LEBL,2026-06-11T01:01:24Z,2026-06-11T02:13:34Z
4020fb7c,FR7538,RYR72NK,RYR,B738,EI-DWX,LIMC,LEBL,2026-06-11T03:51:16Z,2026-06-11T05:01:13Z
4021079e,5X242,UPS242,UPS,B763,N364UP,EDDK,LEBL,2026-06-11T01:44:59Z,2026-06-11T03:18:04Z
402107e5,QY8048,BCS1MU,DHA,B752,OE-LNG,EBBR,LEBL,2026-06-11T01:46:50Z,2026-06-11T03:14:39Z
40210c6c,AV180,AVA180,AVA,B788,N794AV,SKBO,LEBL,2026-06-11T01:55:16Z,2026-06-11T11:36:51Z
4021138a,WS66,WJA66,WJA,B38M,C-GZSG,CYHZ,LEBL,2026-06-11T02:00:01Z,2026-06-11T08:15:15Z
40211831,IB2610,LVL2610,LVL,A332,EC-NRH,SPJC,LEBL,2026-06-11T03:32:28Z,2026-06-11T15:24:01Z
402118a0,,,,FA7X,,,,2026-06-11T02:06:27Z,2026-06-11T10:28:10Z
402118bd,QY8030,BCS3LR,BCS,A306,D-AEAA,EDDP,LEBL,2026-06-11T02:07:15Z,2026-06-11T03:58:57Z
402118d8,AA40,AAL40,AAL,B788,N817AN,KORD,LEBL,2026-06-11T02:12:53Z,2026-06-11T10:32:23Z
40211d1a,DL194,DAL194,DAL,A333,N822NW,KATL,LEBL,2026-06-11T02:04:35Z,2026-06-11T10:38:26Z
40212ed3,3V4272,TAY3BC,TAY,B738,OO-IWD,LFPG,LEBL,2026-06-11T02:58:27Z,2026-06-11T04:06:52Z
40213477,,HAT646P,HAT,B734,9H-ZAZ,GCLP,LEBB,2026-06-11T02:55:04Z,2026-06-11T05:50:59Z
40215f62,W62049,WZZ8DZ,WMT,A21N,9H-WNS,EPKK,LEBB,2026-06-11T04:15:48Z,2026-06-11T06:56:39Z
40217500,UX7161,AEA27GB,OVA,B738,EC-NUZ,LEMD,LEBB,2026-06-11T05:01:22Z,2026-06-11T05:38:52Z
402175eb,VY1463,VLG883P,VLG,A320,EC-OFH,LFPO,LEBB,2026-06-11T04:49:02Z,2026-06-11T05:56:20Z
40217764,LH1147,DLH85N,DLH,A21N,D-AIOA,LEBB,EDDF,2026-06-11T04:57:10Z,2026-06-11T06:48:25Z
40217765,V73534,VOE2GF,VOE,A320,EC-NQM,LEBB,LEAL,2026-06-11T04:50:57Z,2026-06-11T05:53:08Z
4021776f,VY1423,VLG32LC,VLG,A320,EC-MAI,LEBB,LEBL,2026-06-11T05:13:54Z,2026-06-11T06:04:16Z
402179c6,IB442,IBE0442,IBE,A20N,EC-NFI,LEBB,LEMD,2026-06-11T04:52:58Z,2026-06-11T05:35:53Z
40217b41,D83708,NSZ3708,NSZ,B738,SE-RPI,EKCH,LEBB,2026-06-11T05:00:25Z,2026-06-11T07:19:24Z
40217dc4,KL1522,KLM98T,KLC,E190,PH-EZG,LEBB,EHAM,2026-06-11T05:00:09Z,2026-06-11T06:49:08Z
402182bc,VY3280,VLG15FH,VLG,A20N,EC-NCF,LEBB,GCRR,2026-06-11T05:02:07Z,2026-06-11T07:30:34Z
402184b4,VY2512,VLG7CX,VLG,A320,EC-OFY,LEBB,LEZL,2026-06-11T05:32:30Z,2026-06-11T06:38:19Z
402185dc,LH1831,DLH99P,DLH,A320,D-AIUM,LEBB,EDDM,2026-06-11T05:16:47Z,2026-06-11T07:14:22Z
402186d0,VY1420,VLG5PP,VLG,A320,EC-KLB,LEBL,LEBB,2026-06-11T05:23:24Z,2026-06-11T06:12:51Z
402188a6,VY3284,VLG7YJ,VLG,A320,EC-LUO,LEBB,GCFV,2026-06-11T05:20:20Z,2026-06-11T07:53:39Z
402189d1,VY3937,VLG5QN,VLG,A20N,EC-NDA,LEPA,LEBB,2026-06-11T05:20:57Z,2026-06-11T06:21:43Z
40218d0b,VY3272,VLG1JR,VLG,A320,EC-MVE,LEBB,GCLP,2026-06-11T05:29:49Z,2026-06-11T08:11:45Z
40218d80,AF1377,AFR38JF,HOP,E190,F-HBLB,LEBB,LFPG,2026-06-11T05:27:43Z,2026-06-11T06:49:59Z
402190f7,IB429,IBE04RD,IBE,A321,EC-JEJ,LEMD,LEBB,2026-06-11T05:37:01Z,2026-06-11T06:15:17Z
40219899,VY2700,VLG7PA,VLG,A320,EC-KCU,LEBB,LPPT,2026-06-11T05:44:31Z,2026-06-11T06:56:52Z
402109cc,,,,GLF5,,,,2026-06-11T01:40:29Z,2026-06-11T10:52:41Z
40213ada,U28099,EZY52LD,EZY,A319,G-EZGI,EGKK,LEIB,2026-06-11T04:39:51Z,2026-06-11T06:34:45Z
40214d70,HV5671,TRA79H,TRA,B738,PH-HSA,EHAM,LEIB,2026-06-11T03:39:39Z,2026-06-11T05:40:17Z
402154ba,,ANE7015,ANE,AT76,EC-LRR,LEVC,LEIB,2026-06-11T03:46:55Z,2026-06-11T04:13:42Z
40215a7b,FR4362,RYR92EM,RYR,B38M,EI-HMZ,LFOB,LEIB,2026-06-11T04:03:33Z,2026-06-11T05:43:25Z
40215bc1,FR4139,RYR64PC,MAY,B738,9H-QFA,LIRF,LEIB,2026-06-11T04:08:22Z,2026-06-11T05:45:19Z
40215cf1,,CSDHX,,LJ40,CS-DHX,LEBL,LEIB,2026-06-11T04:11:07Z,2026-06-11T04:43:42Z
40216088,SN3777,BEL6JW,BEL,A320,OO-TCV,EBBR,LEIB,2026-06-11T04:20:19Z,2026-06-11T06:05:45Z
40216356,OR1535,TFL5EJ,TFL,B38M,PH-TFN,EHAM,LEIB,2026-06-11T04:16:04Z,2026-06-11T06:14:09Z
402163ee,FR3028,RYR3028,MAY,B738,9H-QFO,LEBL,LEIB,2026-06-11T04:27:11Z,2026-06-11T05:03:52Z
40216405,TB1331,JAF50K,JAF,E295,OO-ETC,EBBR,LEIB,2026-06-11T04:23:40Z,2026-06-11T06:08:09Z
40216412,IB1691,IBS1691,IBS,A320,EC-LVQ,LEMD,LEIB,,
40216423,FR6616,RYR6616,RYR,B38M,EI-HGO,LEAL,LEIB,2026-06-11T04:17:26Z,2026-06-11T04:39:59Z
40216457,X32914,TUI4DN,TUI,B738,D-ATUO,EDDL,LEIB,2026-06-11T04:26:24Z,2026-06-11T06:29:32Z
40216701,U23735,EJU18WZ,EJU,A320,OE-IND,LIMC,LEIB,2026-06-11T04:22:51Z,2026-06-11T05:53:52Z
40216c95,FR8873,RYR9ZH,RYR,B38M,EI-HEY,LEIB,LIBD,2026-06-11T04:33:01Z,2026-06-11T06:22:59Z
40216ce9,DE1500,CFG7FM,MBU,A20N,ES-MBB,EDDF,LEIB,2026-06-11T04:29:53Z,2026-06-11T06:25:53Z
40217160,U22027,EZY28YX,EZY,A320,G-EZRZ,EGCC,LEIB,2026-06-11T04:42:48Z,2026-06-11T06:57:19Z
40217751,FR1263,RYR2MV,RYR,B38M,EI-IHZ,EGCC,LEIB,2026-06-11T04:57:29Z,2026-06-11T07:07:52Z
40217e0b,WT103,SWT103,SWT,AT75,EC-MEC,LEPA,LEIB,2026-06-11T05:02:19Z,2026-06-11T05:37:59Z
4021a18b,NT600,NAY600,NAY,AT76,EC-MVI,GCXO,GCLA,2026-06-11T06:08:00Z,2026-06-11T06:31:47Z
4021a2fc,NT305,RSC50BC,RSC,AT76,EC-NDD,GCLA,GCLP,2026-06-11T06:03:26Z,2026-06-11T06:42:01Z
4021a3c1,NT603,RSC33MY,IBB,AT76,EC-MYT,GCLA,GCXO,2026-06-11T06:06:30Z,2026-06-11T06:32:23Z
4021ad59,NT300,NAY18ZJ,IBB,AT76,EC-NVC,GCLP,GCLA,2026-06-11T06:23:00Z,2026-06-11T07:11:36Z
4021b311,IB1531,IBS15HV,IBS,A21N,EC-NST,LEMD,GCLA,2026-06-11T06:53:51Z,2026-06-11T09:24:00Z
4021b2b1,PM412,CNF412S,CNF,AT75,EC-MUJ,GCXO,GCLA,2026-06-11T06:42:42Z,2026-06-11T07:01:47Z
4021b658,NT602,RSC8ZZ,RSC,AT76,EC-MSK,GCXO,GCLA,2026-06-11T06:39:48Z,2026-06-11T07:03:41Z
4021c341,NT605,NAY2YB,NAY,AT76,EC-MVI,GCLA,GCXO,2026-06-11T07:00:17Z,2026-06-11T07:28:22Z
4021cbf8,NT604,RSC2SY,IBB,AT76,EC-MYT,GCXO,GCLA,2026-06-11T07:15:28Z,2026-06-11T07:39:30Z
4021db9b,NT307,NAY53MK,IBB,AT76,EC-NVC,GCLA,GCLP,2026-06-11T07:41:24Z,2026-06-11T08:23:45Z
4021dcc6,NT607,RSC73MZ,RSC,AT76,EC-MSK,GCLA,GCXO,2026-06-11T07:43:40Z,2026-06-11T08:15:04Z
4021dd83,PM413,CNF413S,CNF,AT75,EC-MUJ,GCLA,GCXO,2026-06-11T07:46:30Z,2026-06-11T08:18:07Z
4021e8f3,NT610,NAY74ZZ,NAY,AT76,EC-MVI,GCXO,GCLA,2026-06-11T08:01:34Z,2026-06-11T08:25:27Z
4021ef9d,NT609,RSC609,IBB,AT76,EC-MYT,GCLA,GCXO,2026-06-11T08:11:41Z,2026-06-11T08:34:22Z
4021fab8,NT760,RSC760,RSC,AT76,EC-NJK,GCTS,GCLA,2026-06-11T08:30:56Z,2026-06-11T09:00:17Z
40220641,PM418,CNF418S,CNF,AT75,EC-MUJ,GCXO,GCLA,2026-06-11T08:48:35Z,2026-06-11T09:12:21Z
